SKUid,EANcode,BrandName,Category,Product,Price,Incentive
1662,8.90E+12,BOAT,Wireless EP,Rockerz 255 Neo Purple Haze,1399,14
1666,8.90E+12,BOAT,Wireless EP,Rockerz 255 Pro Navy Blue Indi,1430,14
899,8.90E+12,BOAT,Wireless EP,Rockerz 255 Pro Active Black,1499,15
901,8.90E+12,BOAT,Wireless EP,Rockerz 255 Pro Blazing Yellow,1499,15
902,8.90E+12,BOAT,Wireless EP,Rockerz 255 Pro Navy Blue,1499,15
903,8.90E+12,BOAT,Wireless EP,Rockerz 255 Pro Raging Red,1499,15
904,8.90E+12,BOAT,Wireless EP,Rockerz 255 Pro Teal Green,1499,15
1073,8.90E+12,BOAT,Wireless EP,Rockerz 258 Pro Active Black,1499,15
930,8.90E+12,BOAT,Wireless EP,Rockerz 258 Pro Blazing Yellow,1699,17
932,8.90E+12,BOAT,Wireless EP,Rockerz 258 Pro Raging Red,1699,17
933,8.90E+12,BOAT,Wireless EP,Rockerz 258 Pro Teal Green,1499,15
905,8.90E+12,BOAT,Wireless EP,Rockerz 255 Pro+ Active Black,1699,17
906,8.90E+12,BOAT,Wireless EP,Rockerz 255 Pro+ Navy Blue,1699,17
907,8.90E+12,BOAT,Wireless EP,Rockerz 255 Pro+ Teal Green,1699,17
1074,8.90E+12,BOAT,Wireless EP,Rockerz 258 Pro+ Active Black,1699,17
1102,8.90E+12,BOAT,Wireless EP,Rockerz 258 Pro+ Navy Blue,1699,17
1103,8.90E+12,BOAT,Wireless EP,Rockerz 258 Pro+ Teal Green,1699,17
891,8.90E+12,BOAT,Wireless EP,Rockerz 255 Csk Blue,1399,14
892,8.90E+12,BOAT,Wireless EP,Rockerz 255 Dc Blue,1399,14
894,8.90E+12,BOAT,Wireless EP,Rockerz 255 Kkr Thunder Purple,1399,14
900,8.90E+12,BOAT,Wireless EP,Rockerz 255 Pro Active Black Indi,1499,15
934,8.90E+12,BOAT,Wireless EP,Rockerz 260 Active Black,1299,13
935,8.90E+12,BOAT,Wireless EP,Rockerz 260 Bold Blue,1299,13
1840,8.91E+12,BOAT,Wireless EP,Rockerz 260 Cool Blue,1299,13
1838,8.91E+12,BOAT,Wireless EP,Rockerz 260 Electric Purple,1299,13
1839,8.91E+12,BOAT,Wireless EP,Rockerz 260 Forest Green,1299,13
1841,8.91E+12,BOAT,Wireless EP,Rockerz 260 Fusion Black,1299,13
936,8.90E+12,BOAT,Wireless EP,Rockerz 260 Warm Grey,1299,13
974,8.90E+12,BOAT,Wireless EP,Rockerz 330 Active Black,1699,17
975,8.90E+12,BOAT,Wireless EP,Rockerz 330 Blazing Yellow,1699,17
976,8.90E+12,BOAT,Wireless EP,Rockerz 330 Navy Blue,1699,17
977,8.90E+12,BOAT,Wireless EP,Rockerz 330 Ocean Blue,1699,17
982,8.90E+12,BOAT,Wireless EP,Rockerz 330 Raging Red,1699,17
983,8.90E+12,BOAT,Wireless EP,Rockerz 330 Teal Green,1699,17
1511,8.90E+12,BOAT,Wireless EP,Rockerz 330 Active Black Indi,1699,17
1546,8.91E+12,BOAT,Wireless EP,Rockerz 330 Anc Funky Grey,1799,18
1545,8.91E+12,BOAT,Wireless EP,Rockerz 330 Anc Gunmetal Black,1799,18
1547,8.91E+12,BOAT,Wireless EP,Rockerz 330 Anc Oceanic Blue,1799,18
1669,8.90E+12,BOAT,Wireless EP,Rockerz 330 Pro Teal Green,1899,19
978,8.90E+12,BOAT,Wireless EP,Rockerz 330 Pro Active Black,1899,19
979,8.90E+12,BOAT,Wireless EP,Rockerz 330 Pro Blazing Yellow,1899,19
980,8.90E+12,BOAT,Wireless EP,Rockerz 330 Pro Navy Blue,1899,19
981,8.90E+12,BOAT,Wireless EP,Rockerz 330 Pro Raging Red,1899,19
984,8.90E+12,BOAT,Wireless EP,Rockerz 333 Active Black,1699,17
1512,8.90E+12,BOAT,Wireless EP,Rockerz 333 Active Black Indi,1699,17
985,8.90E+12,BOAT,Wireless EP,Rockerz 333 Cherry Black,1699,17
986,8.90E+12,BOAT,Wireless EP,Rockerz 333 Navy Blue,1699,17
987,8.90E+12,BOAT,Wireless EP,Rockerz 333 Ocean Blue,1699,17
991,8.90E+12,BOAT,Wireless EP,Rockerz 333 Teal Green,1699,17
1551,8.91E+12,BOAT,Wireless EP,Rockerz 333 Anc Celestial Blue,1799,18
1550,8.91E+12,BOAT,Wireless EP,Rockerz 333 Anc Moon Grey,1799,18
